,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
bloodmoon_secrets_description,,Used to unlock the <b>Bloodmoon exterminator</b> upgrade,Se utiliza para desbloquear la mejora <b>Exterminador de Bloodmoon</b>.,Käytetään <b>Bloodmoon-tuhoajan</b> päivityksen avaamiseen,Zum Freischalten des Upgrades „<b>Blutmond-Vernichter</b>“,,Usado para desbloquear a atualização <b>Exterminador da Lua Sangrenta</b>,Utilisé pour débloquer l'amélioration <b>Exterminateur de Bloodmoon</b>,,,<b>Bloodmoon yok edici</b> yükseltmesini açmak için kullanılır,Służy do odblokowania ulepszenia <b>Eksterminator Krwawego Księżyca</b>,,,,,,,,,,,,,,,
upgrade_bloodmoon_exterminator,,Bloodmoon exterminator,Exterminador de Bloodmoon,Bloodmoon-tuhoaja,Blutmond-Vernichter,,Exterminador da Lua Sangrenta,Exterminateur de Bloodmoon,,,Bloodmoon yok edici,Eksterminator Krwawego Księżyca,,,,,,,,,,,,,,,
upgrade_bloodmoon_exterminator_description,,Permanently boost your Exterminating experience by 10%,Aumenta permanentemente tu experiencia de exterminio en un 10 %.,Lisää tuhoamiskokemustasi pysyvästi 10 %,Erhöht deine Vernichtungserfahrung dauerhaft um 10 %.,,Aumenta permanentemente sua experiência em Exterminar em 10%,Augmente de manière permanente votre expérience d'extermination de 10 %.,,,Yok etme deneyiminizi kalıcı olarak %10 artırır,Trwale zwiększa twoje doświadczenie w eksterminacji o 10%,,,,,,,,,,,,,,,
bloodmoon_eel,,Bloodmoon eel,Anguila de Bloodmoon,Bloodmoon-ankerias,Blutmond-Aal,,Enguia da Lua Sangrenta,Anguille de Bloodmoon,,,Bloodmoon yılan balığı,Węgorz Krwawego Księżyca,,,,,,,,,,,,,,,
cooked_bloodmoon_eel,,Cooked bloodmoon eel,Anguila de Bloodmoon cocinada.,Keitetty bloodmoon-ankerias,Gekochter Blutmond-Aal,,Enguia da Lua Sangrenta cozida,Anguille de Bloodmoon cuite,,,Pişmiş Bloodmoon yılan balığı,Ugotowany węgorz Krwawego Księżyca,,,,,,,,,,,,,,,
bloodmoon_worm,,Bloodmoon worm,Gusano de Bloodmoon,Bloodmoon-mato,Blutmond-Wurm,,Vermelho da Lua Sangrenta,Ver de Bloodmoon,,,Bloodmoon solucanı,Robak Krwawego Księżyca,,,,,,,,,,,,,,,
bloodmoon_worm_description,,Used to catch Bloodmoon eel,Se utiliza para atrapar anguilas de Bloodmoon.,Käytetään bloodmoon-ankeriaan pyydystämiseen,Zum Fangen von Blutmond-Aalen,,Usado para capturar enguias da Lua Sangrenta,Utilisé pour attraper l'anguille de Bloodmoon,,,Bloodmoon yılan balığı yakalamak için kullanılır,Służy do łapania węgorza Krwawego Księżyca,,,,,,,,,,,,,,,
exterminating_bloodmoon_equipment,,Bloodmoon combat,Combate de Bloodmoon,Bloodmoon-taistelu,Blutmond-Kampf,,Combate da Lua Sangrenta,Combat de Bloodmoon,,,Bloodmoon savaşı,Walka Krwawego Księżyca,,,,,,,,,,,,,,,
exterminating_bloodmoon_equipment_description,,Unlocks the ability to wear the Bloodmoon helmet,Desbloquea la habilidad de llevar el casco de Bloodmoon.,Avaa mahdollisuuden käyttää Bloodmoon-kypärää,"Schaltet die Möglichkeit frei, den Blutmond-Helm zu tragen.",,Desbloqueia a habilidade de usar o capacete da Lua Sangrenta,Débloque la possibilité de porter le casque de Bloodmoon,,,Bloodmoon miğferini takma yeteneğini açar,Odblokowuje możliwość noszenia hełmu Krwawego Księżyca,,,,,,,,,,,,,,,
bloodmoon_helmet,,Bloodmoon helmet,Casco de Bloodmoon,Bloodmoon-kypärä,Blutmond-Helm,,Capacete da Lua Sangrenta,Casque de Bloodmoon,,,Bloodmoon miğferi,Hełm Krwawego Księżyca,,,,,,,,,,,,,,,
bloodmoon_helmet_description,,"Raises your Attack, Strength, Archery and Magic levels by {0}% when fighting Exterminating assignments","Aumenta tus niveles de ataque, fuerza, arquería y magia en un {0} % cuando luchas en misiones de exterminio.","Nostaa hyökkäys-, voima-, jousiammunta- ja taikuustasosi {0} %:lla tuhoamistehtävissä taistellessasi.","Erhöht deine Angriffs-, Stärke-, Bogenschieß- und Magie-Werte um {0} %, wenn du Vernichtungsaufträge erfüllst.",,"Aumenta seus níveis de Ataque, Força, Arco e Flecha e Magia em {0}% ao lutar em missões de extermínio","Augmente vos niveaux d'attaque, de force, d'archerie et de magie de {0} % lorsque vous combattez des missions d'extermination.",,,"Exterminating görevlerinde savaşırken Saldırı, Güç, Okçuluk ve Büyü seviyelerinizi {0}% artırır.","Podnosi poziom ataku, siły, łucznictwa i magii o {0}% podczas walki w zadaniach eksterminacyjnych.",,,,,,,,,,,,,,,
belt_of_the_moon,,Lunar belt,Cinturón lunar,Kuun vyö,Mondgürtel,,Cinto lunar,Ceinture lunaire,,,Ay kemeri,Pas księżycowy,,,,,,,,,,,,,,,
pet_bloodmoon,,Lil' Eclipse,Lil' Eclipse,Pikku-eclipse,Kleine Finsternis,,Lil' Eclipse,Petite éclipse,,,Lil' Eclipse,Małe zaćmienie,,,,,,,,,,,,,,,
exterminating_bloodmoon_equipment_missing,,You need to have purchased the <b>Bloodmoon combat</b> Exterminating unlock to wear this.,Debes haber comprado el desbloqueo de exterminio <b>Combate de Bloodmoon</b> para poder llevarlo.,"Sinun on ostettava <b>Bloodmoon-taistelu</b> -tuhoamispäivitys, jotta voit käyttää tätä.","Du musst die Freischaltung „Bloodmoon-Kampf“ für Vernichtung gekauft haben, um diesen tragen zu können.",,Você precisa ter comprado o desbloqueio de extermínio <b>Combate Bloodmoon</b> para usar isso.,Vous devez avoir acheté le déblocage d'extermination <b>Combat Bloodmoon</b> pour porter cet objet.,,,Bunu giymek için <b>Bloodmoon combat</b> Exterminating kilidini satın almış olmanız gerekir.,"Aby nosić ten przedmiot, musisz wykupić odblokowanie eksterminacji <b>Walka w krwawym księżycu</b>.",,,,,,,,,,,,,,,
raids_3_short,,BMM,BMM,BMM,BMM,,BMM,BMM,,,BMM,BMM,,,,,,,,,,,,,,,
bloodmoon_massacre,,Bloodmoon massacre,Masacre de Bloodmoon,Bloodmoon-verilöyly,Bloodmoon-Massaker,,Massacre Bloodmoon,Massacre Bloodmoon,,,Bloodmoon katliamı,Masakra w krwawym księżycu,,,,,,,,,,,,,,,
bloodmoon_massacre_wave,,Bloodmoon massacre wave,Ola de masacre de Bloodmoon,Bloodmoon-verilöylyaalto,Bloodmoon-Massaker-Welle,,Onda de massacre Bloodmoon,Vague de massacre Bloodmoon,,,Bloodmoon katliamı dalgası,Fala masakry w krwawym księżycu,,,,,,,,,,,,,,,
raids_level_3_level_suggestions,,<b>Recommended levels</b>:<br>100+ combat<br>90+ fishing and cooking,<b>Niveles recomendados</b>:<br>100+ de combate<br>90+ de pesca y cocina,<b>Suositellut tasot</b>:<br>100+ taistelu<br>90+ kalastus ja ruoanlaitto,<b>Empfohlene Stufen</b>:<br>100+ Kampf<br>90+ Angeln und Kochen,,<b>Níveis recomendados</b>:<br>100+ em combate<br>90+ em pesca e culinária,<b>Niveaux recommandés</b> :<br>100+ en combat<br>90+ en pêche et en cuisine,,,<b>Önerilen seviyeler</b>:<br>100+ savaş<br>90+ balıkçılık ve aşçılık,<b>Zalecane poziomy</b>:<br>100+ walki<br>90+ łowienia i gotowania,,,,,,,,,,,,,,,
dead,,Dead,Muerto,Kuollut,Tot,,Morto,Mort,,,Ölü,Martwy,,,,,,,,,,,,,,,
bloodmoon_bait_fishing,,Bloodmoon bait jar,Tarro de cebo de Luna Negra,Bloodmoon-syöttipurkki,Bloodmoon-Köderglas,,Pote de isca da Lua Sangrenta,Pot d'appât Bloodmoon,,,Bloodmoon yem kavanozu,Słoik z przynętą Krwawego Księżyca,,,,,,,,,,,,,,,
bloodmoon_bait_fishing_description,,Required to unlock the <b>Bloodmoon fishing</b> upgrade,Necesario para desbloquear la mejora <b>Pesca de Luna Negra</b>.,Tarvitaan <b>Bloodmoon-kalastus</b> -päivityksen avaamiseen,"Erforderlich, um das Upgrade „Bloodmoon-Angeln“ freizuschalten",,Necessário para desbloquear a melhoria <b>Pesca da Lua Sangrenta</b>,Nécessaire pour débloquer l'amélioration <b>Pêche Bloodmoon</b>,,,<b>Bloodmoon balıkçılığı</b> yükseltmesini açmak için gereklidir,Wymagany do odblokowania ulepszenia <b>Wędkarstwo w Czasie Krwawego Księżyca</b>,,,,,,,,,,,,,,,
upgrade_bloodmoon_fisherman,,Bloodmoon fishing,Pesca de Luna Negra,Bloodmoon-kalastus,Bloodmoon-Angeln,,Pesca da Lua Sangrenta,Pêche Bloodmoon,,,Bloodmoon balıkçılığı,Wędkarstwo w Czasie Krwawego Księżyca,,,,,,,,,,,,,,,
upgrade_bloodmoon_fisherman_description,,Provides a permanent 50% chance to not use Bloodmoon worms when catching eels,Proporciona un 50 % de probabilidad permanente de no usar gusanos de Luna Negra al pescar anguilas.,Antaa pysyvän 50 %:n mahdollisuuden olla käyttämättä Bloodmoon-matoja ankeriaita pyydettäessä,"Bietet eine permanente Chance von 50 %, beim Fangen von Aalen keine Bloodmoon-Würmer zu verwenden",,Dá uma chance permanente de 50% de não usar vermes da Lua Sangrenta ao pescar enguias,Vous donne 50 % de chances de ne pas utiliser de vers Bloodmoon lorsque vous attrapez des anguilles.,,,Yılan balığı avlarken Bloodmoon solucanlarını kullanmama şansı %50 kalıcı olarak artar,Zapewnia stałą szansę 50% na niezużycie robaków Krwawego Księżyca podczas łowienia węgorzy,,,,,,,,,,,,,,,
bloodmoon_helmet_upgrade,,Bloodmoon gem,Gema de Luna Negra,Bloodmoon-jalokivi,Bloodmoon-Edelstein,,Gema da Lua Sangrenta,Gemme Bloodmoon,,,Bloodmoon mücevheri,Klejnot Krwawego Księżyca,,,,,,,,,,,,,,,
bloodmoon_helmet_upgrade_description,,Required to unlock the <b>Power of the moon</b>,Necesario para desbloquear el <b>Poder de la luna</b>.,Tarvitaan <b>Kuun voima</b> -päivityksen avaamiseen,"Erforderlich, um „Kraft des Mondes“ freizuschalten",,Necessário para desbloquear o <b>Poder da Lua</b>,Nécessaire pour débloquer le <b>Pouvoir de la lune</b>,,,<b>Ayın gücü</b>'nü açmak için gereklidir,Wymagany do odblokowania <b>Moc księżyca</b>,,,,,,,,,,,,,,,
upgrade_bloodmoon_helmet_upgrade,,Power of the moon,Poder de la luna,Kuun voima,Kraft des Mondes,,Poder da Lua,Pouvoir de la lune,,,Ayın gücü,Moc księżyca,,,,,,,,,,,,,,,
upgrade_bloodmoon_helmet_upgrade_description,,Doubles the bonuses of your Bloodmoon helmet from 6% to 12%,Duplica las bonificaciones de tu casco de Luna Negra del 6 % al 12 %.,Kaksinkertaistaa Bloodmoon-kypärän bonukset 6 %:sta 12 %:iin,Verdoppelt die Boni deines Bloodmoon-Helms von 6 % auf 12 %,,Duplica os bônus do seu capacete da Lua Sangrenta de 6% para 12%,"Double les bonus de votre casque Bloodmoon, qui passent de 6 % à 12 %.",,,Bloodmoon miğferinizin bonuslarını %6'dan %12'ye iki katına çıkarır,Podwaja bonusy hełmu Krwawego Księżyca z 6% do 12%,,,,,,,,,,,,,,,
claim_one,,Claim one,Reclamar uno,Lunasta yksi,Einen beanspruchen,,Resgatar um,Réclamer un,,,Bir tane al,Odbierz jeden,,,,,,,,,,,,,,,
claim_all,,Claim all,Reclamar todos,Lunasta kaikki,Alle beanspruchen,,Resgatar todos,Réclamer tous,,,Hepsini al,Odbierz wszystkie,,,,,,,,,,,,,,,
regular_vs_high_roller_loot_confirmation,,Which loot type would you like to view?,¿Qué tipo de botín te gustaría ver?,Minkä saalistyypin haluat nähdä?,Welche Beuteart möchtest du anzeigen?,,Qual tipo de saque você gostaria de ver?,Quel type de butin souhaitez-vous voir ?,,,Hangi ganimet türünü görmek istersiniz?,Który rodzaj łupów chcesz wyświetlić?,,,,,,,,,,,,,,,
server_update_info,,<b>Game update</b><br><br>{0},<b>Actualización del juego</b><br><br>{0},<b>Pelin päivitys</b><br><br>{0},<b>Spiel-Update</b><br><br>{0},,<b>Atualização do jogo</b><br><br>{0},<b>Mise à jour du jeu</b><br><br>{0},,,<b>Oyun güncellemesi</b><br><br>{0},<b>Aktualizacja gry</b><br><br>{0},,,,,,,,,,,,,,,
bloodmoon_massacre_wave_record,,Bloodmoon massacre highest wave: {0},"Masacre de la Luna Sangrienta, ola más alta: {0}",Bloodmoon-verilöylyn korkein aalto: {0},Höchste Welle des Blutmond-Massakers: {0},,Onda mais alta do massacre da Lua Sangrenta: {0},"Massacre de la Lune sanglante, vague la plus élevée : {0}",,,Bloodmoon katliamının en yüksek dalgası: {0},Najwyższa fala masakry Krwawego Księżyca: {0},,,,,,,,,,,,,,,
pet_cant_be_upgraded,,"Your equipped pet {0} cannot be upgraded. If you meant to ugprade another pet, you need to equip it.",{0} no se puede actualizar.,{0} ei voi päivittää.,{0} kann nicht aktualisiert werden.,,{0} não pode ser atualizado.,{0} ne peut pas être mis à niveau.,,,{0} yükseltilemez.,{0} nie można zaktualizować.,,,,,,,,,,,,,,,
loot_rolls_received_bmm,,"Loot rolls: {0} default, {1} high roller","Tiros de botín: {0} predeterminado, {1} tirada alta","Saalisrullat: {0} oletus, {1} korkea panos","Beute-Würfel: {0} Standard, {1} High Roller",,"Rolagem de saque: {0} padrão, {1} alto risco","Loot rolls : {0} par défaut, {1} high roller",,,"Ganimet ruloları: {0} varsayılan, {1} yüksek rulet","Rzuty łupów: {0} domyślne, {1} wysokie",,,,,,,,,,,,,,,
get_verification_token,,Get verification token,Obtener token de verificación,Hanki vahvistustunnus,Verifizierungstoken erhalten,,Obter token de verificação,Obtenir un jeton de vérification,,,Doğrulama jetonu al,Uzyskaj token weryfikacyjny,,,,,,,,,,,,,,,
get_verification_token_confirmation,,This feature allows you to generate a secure token that is tied to this account. Third-party developers can use this token to cryptographically verify your Idle Clans identity. <br><br>This token isn't used by Idle Clans internally but generating a token and losing it to a bad actor would mean that your username could be used in third-party communities maliciously.<br><br>Get a token and automatically copy it to your clipboard?,"Esta función te permite generar un token seguro vinculado a esta cuenta. Los desarrolladores externos pueden utilizar este token para verificar criptográficamente tu identidad en Idle Clans. <br><br>Este token no es utilizado internamente por Idle Clans, pero generar un token y perderlo por culpa de un mal actor significaría que tu nombre de usuario podría ser utilizado de forma maliciosa en comunidades de terceros. <br><br>¿Quieres obtener un token y copiarlo automáticamente en tu portapapeles?","Tämän ominaisuuden avulla voit luoda turvallisen tunnuksen, joka on sidottu tähän tiliin. Kolmannen osapuolen kehittäjät voivat käyttää tätä tunnusta salakirjoittamaan Idle Clans -tunnuksesi. <br><br>Idle Clans ei käytä tätä tunnusta sisäisesti, mutta tunnuksen luominen ja sen menettäminen pahantahtoiselle henkilölle tarkoittaa, että käyttäjänimesi voidaan käyttää kolmansien osapuolten yhteisöissä pahantahtoisesti. <br><br>Haluatko saada tunnuksen ja kopioida sen automaattisesti leikepöydälle?","Mit dieser Funktion können Sie einen sicheren Token generieren, der mit diesem Konto verknüpft ist. Drittentwickler können diesen Token verwenden, um Ihre Identität bei Idle Clans kryptografisch zu überprüfen. <br><br>Dieser Token wird von Idle Clans intern nicht verwendet, aber wenn Sie einen Token generieren und ihn an einen böswilligen Akteur verlieren, könnte Ihr Benutzername in Communities von Drittanbietern missbräuchlich verwendet werden. <br><br>Token abrufen und automatisch in die Zwischenablage kopieren?",,"Este recurso permite que você gere um token seguro vinculado a esta conta. Desenvolvedores terceirizados podem usar este token para verificar criptograficamente sua identidade no Idle Clans. <br><br>Este token não é usado internamente pelo Idle Clans, mas gerar um token e perdê-lo para um agente mal-intencionado significaria que seu nome de usuário poderia ser usado de forma maliciosa em comunidades de terceiros. <br><br>Obter um token e copiá-lo automaticamente para a área de transferência?","Cette fonctionnalité vous permet de générer un jeton sécurisé lié à ce compte. Les développeurs tiers peuvent utiliser ce jeton pour vérifier de manière cryptographique votre identité Idle Clans. <br><br>Ce jeton n'est pas utilisé en interne par Idle Clans, mais si vous générez un jeton et que vous le perdez, votre nom d'utilisateur pourrait être utilisé de manière malveillante dans des communautés tierces. <br><br>Obtenir un jeton et le copier automatiquement dans votre presse-papiers ?",,,"Bu özellik, bu hesaba bağlı güvenli bir jeton oluşturmanıza olanak tanır. Üçüncü taraf geliştiriciler, bu jetonu Idle Clans kimliğinizi şifreli olarak doğrulamak için kullanabilir. <br><br>Bu jeton Idle Clans tarafından dahili olarak kullanılmaz, ancak bir jeton oluşturup kötü niyetli bir kişiye kaptırmanız durumunda kullanıcı adınız üçüncü taraf topluluklarda kötü amaçlı olarak kullanılabilir. <br><br>Jetonu alıp otomatik olarak panoya kopyalamak ister misiniz?","Ta funkcja umożliwia wygenerowanie bezpiecznego tokenu powiązanego z tym kontem. Zewnętrzni programiści mogą używać tego tokenu do kryptograficznej weryfikacji tożsamości użytkownika Idle Clans. <br><br>Ten token nie jest używany wewnętrznie przez Idle Clans, ale wygenerowanie tokenu i utrata go przez niepowołaną osobę oznaczałaby, że Twoja nazwa użytkownika mogłaby zostać wykorzystana w złych zamiarach w społecznościach zewnętrznych. <br><br>Chcesz uzyskać token i automatycznie skopiować go do schowka?",,,,,,,,,,,,,,,
verification_token_created,,Your token has been created and copied to your clipboard. Save it and use it only with third-party developers you trust!,Tu token ha sido creado y copiado en tu portapapeles. ¡Guárdalo y utilízalo solo con desarrolladores externos en los que confíes!,Tunnuksesi on luotu ja kopioitu leikepöydälle. Tallenna se ja käytä sitä vain luotettavien kolmansien osapuolten kehittäjien kanssa!,"Ihr Token wurde erstellt und in die Zwischenablage kopiert. Speichern Sie ihn und verwenden Sie ihn nur mit Drittanbietern, denen Sie vertrauen!",,Seu token foi criado e copiado para a área de transferência. Salve-o e use-o apenas com desenvolvedores de terceiros em quem você confia!,Votre jeton a été créé et copié dans votre presse-papiers. Enregistrez-le et utilisez-le uniquement avec des développeurs tiers de confiance !,,,Jetonunuz oluşturuldu ve panonuza kopyalandı. Jetonu kaydedin ve yalnızca güvendiğiniz üçüncü taraf geliştiricilerle kullanın!,"Twój token został utworzony i skopiowany do schowka. Zapisz go i używaj wyłącznie w przypadku zewnętrznych programistów, którym ufasz!",,,,,,,,,,,,,,,
missing_jewelry_enchantment,,"Jewelry not found in your inventory. If it's in your Enchanting loadout, you may need to remove it first.","Joyería no encontrada en tu inventario. Si está en tu conjunto de Encantamiento, es posible que primero debas retirarla.","Korua ei löydy varastostasi. Jos se on Lumousvarustuksessasi, sinun on ehkä poistettava se ensin.","Schmuckstück nicht im Inventar gefunden. Wenn es sich in deinem Verzauberungs-Loadout befindet, musst du es möglicherweise zuerst entfernen.",,"Joia não encontrada em seu inventário. Se ela estiver no seu conjunto de Encantamento, talvez você precise removê-la primeiro.","Bijou non trouvé dans votre inventaire. S'il est dans votre équipement d'Enchantement, vous devrez peut-être le retirer d'abord.",,,Takı envanterinizde bulunamadı. Eğer Büyüleme ekipmanınızdaysa önce onu çıkarmanız gerekebilir.,"Nie znaleziono biżuterii w twoim ekwipunku. Jeśli znajduje się w zestawie Zaklinania, być może najpierw trzeba ją usunąć.",,,,,,,,,,,,,,,
clan_events,,Clan events,Eventos de clan,Klaanitapahtumat,Clan-Ereignisse,,Eventos do clã,Événements de clan,,,Klan Etkinlikleri,Wydarzenia klanowe,,,,,,,,,,,,,,,
collection_log,,Collection log,Registro de colección,Keräysloki,Sammlungstagebuch,,Registro de coleção,Journal de collection,,,Koleksiyon günlüğü,Dziennik kolekcji,,,,,,,,,,,,,,,
chests,,Chests,Cofres,Arkut,Truhen,,Baús,Coffres,,,Sandıklar,Skrzynie,,,,,,,,,,,,,,,
collectables_discovered,,Collectables discovered: {0}/{1},Coleccionables descubiertos: {0}/{1},Löydetyt keräilyesineet: {0}/{1},Gefundene Sammelgegenstände: {0}/{1},,Colecionáveis descobertos: {0}/{1},Objets à collectionner découverts : {0}/{1},,,Keşfedilen koleksiyon eşyaları: {0}/{1},Odkryte przedmioty kolekcjonerskie: {0}/{1},,,,,,,,,,,,,,,
monsters,,Monsters,Monstruos,Hirviöt,Monster,,Monstros,Monstres,,,Canavarlar,Potwory,,,,,,,,,,,,,,,
progress_value,,Progress: {0}/{1},Progreso: {0}/{1},Edistyminen: {0}/{1},Fortschritt: {0}/{1},,Progresso: {0}/{1},Progression : {0}/{1},,,İlerleme: {0}/{1},Postęp: {0}/{1},,,,,,,,,,,,,,,
collection_log_entry_received,,Received collection log entry: {0},Entrada de registro de colección recibida: {0},Saatu keräyslokimerkintä: {0},Sammlungstagebucheintrag erhalten: {0},,Entrada de registro de coleção recebida: {0},Entrée de journal de collection reçue : {0},,,Koleksiyon günlüğü girdisi alındı: {0},Otrzymano wpis do dziennika kolekcji: {0},,,,,,,,,,,,,,,
collection_log_entries_received,,You unlocked new collection log entries.,Has desbloqueado nuevas entradas en el registro de colección.,Avasit uusia keräyslokimerkintöjä.,Du hast neue Sammlungstagebucheinträge freigeschaltet.,,Você desbloqueou novas entradas no registro de coleção.,Vous avez débloqué de nouvelles entrées du journal de collection.,,,Yeni koleksiyon günlüğü girdileri açtınız.,Odblokowano nowe wpisy w dzienniku kolekcji.,,,,,,,,,,,,,,,
check_reimbursements,,Check reimbursements,Comprobar reembolsos,Tarkista hyvitykset,Rückerstattungen prüfen,,Verificar reembolsos,Vérifier les remboursements,,,Geri ödemeleri kontrol et,Sprawdź zwroty,,,,,,,,,,,,,,,
no_reimbursements_received,,You have no pending reimbursements.,No tienes reembolsos pendientes.,Sinulla ei ole odottavia hyvityksiä.,Du hast keine ausstehenden Rückerstattungen.,,Você não tem reembolsos pendentes.,Vous n'avez aucun remboursement en attente.,,,Bekleyen geri ödemeniz yok.,Nie masz żadnych oczekujących zwrotów.,,,,,,,,,,,,,,,
dodge_reimbursement,,You were reimbursed {0} gold for the Ninja upgrade,Has sido reembolsado con {0} de oro por la mejora Ninja,Sinulle hyvitettiin {0} kultaa Ninja-päivityksestä,Du hast {0} Gold für das Ninja-Upgrade erstattet bekommen,,Você foi reembolsado em {0} de ouro pela melhoria Ninja,Vous avez été remboursé de {0} or pour l'amélioration Ninja,,,Ninja yükseltmesi için {0} altın geri ödendi,Otrzymano zwrot {0} złota za ulepszenie Ninja,,,,,,,,,,,,,,,
agility_dodge_info,,Grants 0.18% dodge chance in combat per level. Current dodge chance: {0}%,"Otorga un 0,18% de probabilidad de esquivar en combate por nivel. Probabilidad actual de esquivar: {0}%","Antaa 0,18 % väistötodennäköisyyden taistelussa per taso. Nykyinen väistötodennäköisyys: {0}%","Gewährt pro Stufe eine Ausweichchance von 0,18 % im Kampf. Aktuelle Ausweichchance: {0}%",,"Concede 0,18% de chance de esquiva em combate por nível. Chance atual de esquiva: {0}%","Confère 0,18 % de chance d'esquive en combat par niveau. Chance d'esquive actuelle : {0}%",,,"Seviyeye başına çatışmada %0,18 sıyrılma şansı sağlar. Mevcut sıyrılma şansı: {0}%","Zapewnia 0,18% szansy na unik w walce na poziom. Aktualna szansa na unik: {0}%",,,,,,,,,,,,,,,
summer_event_title,,Beach party,Evento de playa,Rantatapahtuma,Strandevent,,Evento da praia,Événement de plage,,,Plaj etkinliği,Wydarzenie plażowe,,,,,,,,,,,,,,,
summer_event_info,,Purchase ice cream and donate it to the community! Everyone receives an experience boost that grows as the shared ice cream supply rises.,¡Compra helado y dónalo a la comunidad! Todos reciben una bonificación de experiencia que aumenta conforme crece el suministro compartido de helado.,"Osta jäätelöä ja lahjoita sitä yhteisölle! Kaikki saavat kokemustehosteen, joka kasvaa yhteisen jäätelövaraston kasvaessa.","Kaufe Eiscreme und spende sie an die Gemeinschaft! Jeder erhält einen Erfahrungsbonus, der mit der Gesamtmenge des geteilten Eises wächst.",,Compre sorvete e doe para a comunidade! Todos recebem um bônus de experiência que cresce conforme aumenta o estoque compartilhado de sorvete.,Achetez de la glace et faites-en don à la communauté ! Tout le monde reçoit un bonus d'expérience qui augmente avec l'approvisionnement commun en glace.,,,Dondurma satın al ve topluluğa bağışla! Ortak dondurma stoğu arttıkça herkesin aldığı deneyim bonusu yükselir.,"Kup lody i przekaż je społeczności! Wszyscy otrzymują premię do doświadczenia, która rośnie wraz ze wspólnym zapasem lodów.",,,,,,,,,,,,,,,
summer_currency_name,,Ice cream,Helado,Jäätelö,Eiscreme,,Sorvete,Glace,,,Dondurma,Lody,,,,,,,,,,,,,,,
summer_event_supply_decrease_info,,Watch the supply! We have {0} ice cream  but <br>{1} are getting eaten up in {2}!,¡Vigila el suministro! Tenemos {0} helados pero <br>{1} serán consumidos en {2}.,"Seuraa varastoa! Meillä on {0} jäätelöä, mutta <br>{1} syödään {2} kuluttua!","Pass auf den Vorrat auf! Wir haben {0} Eis, aber <br>{1} werden in {2} gegessen!",,"Cuidado com o estoque! Temos {0} sorvetes, mas <br>{1} serão consumidos em {2}!","Surveillez l'approvisionnement ! Nous avons {0} glaces, mais <br>{1} seront consommées dans {2} !",,,"Stoğa dikkat et! {0} dondurmamız var ama <br>{1}, {2} içinde tüketilecek!","Pilnuj zapasów! Mamy {0} lodów, ale <br>{1} zostanie zjedzonych za {2}!",,,,,,,,,,,,,,,
summer_event_supply_decrease_inactive_info,,"After advancing from the first tier, some ice cream will get eaten up from the total supply every hour. ","Después de avanzar del primer nivel, una parte del helado será consumida cada hora.",Ensimmäisen tason jälkeen jäätelöä kulutetaan joka tunti.,Nach der ersten Stufe wird stündlich etwas Eis verbraucht.,,"Após avançar do primeiro nível, parte do sorvete será consumido do estoque total a cada hora.","Après avoir dépassé le premier palier, une partie de la glace sera consommée chaque heure.",,,İlk aşamadan sonra her saat toplam stoktan bir miktar dondurma tüketilecek.,"Po przekroczeniu pierwszego poziomu, część lodów będzie zużywana co godzinę.",,,,,,,,,,,,,,,
summer_event_your_currency,,Your ice cream: {0},Tu helado: {0},Sinun jäätelösi: {0},Dein Eis: {0},,Seu sorvete: {0},Votre glace : {0},,,Senin dondurman: {0},Twoje lody: {0},,,,,,,,,,,,,,,
summer_event_total_donated_currency,,Your total donated ice cream: {0},Total de helado donado: {0},Lahjoittamasi jäätelö yhteensä: {0},Dein gesamtes gespendetes Eis: {0},,Total de sorvete doado por você: {0},Total de glaces données : {0},,,Toplam bağışladığın dondurma: {0},Całkowita liczba podarowanych lodów: {0},,,,,,,,,,,,,,,
summer_currency_donated_by_clan,,{0} donated by clan: {1},{0} donado por el clan: {1},{0} klaanin lahjoittama: {1},{0} vom Clan gespendet: {1},,{0} doado pelo clã: {1},{0} donné par le clan : {1},,,Klan tarafından bağışlanan {0}: {1},{0} przekazanych przez klan: {1},,,,,,,,,,,,,,,
summer_purchase_button_name,,Buy ice cream,Comprar helado,Osta jäätelöä,Eis kaufen,,Comprar sorvete,Acheter de la glace,,,Dondurma satın al,Kup lody,,,,,,,,,,,,,,,
summer_donate_button_name,,Donate ice cream,Donar helado,Lahjoita jäätelöä,Eis spenden,,Doar sorvete,Donner de la glace,,,Dondurma bağışla,Podaruj lody,,,,,,,,,,,,,,,
summer_event_currency_required_milestone,,{0} ice cream,{0} helado,{0} jäätelö,{0} Eiscreme,,{0} sorvete,{0} glace,,,{0} dondurma,{0} lodów,,,,,,,,,,,,,,,
ice_cream,,Ice cream,Helado,Jäätelö,Eiscreme,,Sorvete,Glace,,,Dondurma,Lody,,,,,,,,,,,,,,,
